,condition,distance_between_original_user_in_percentage
8mo5LSM9BUjaqKWfWiPv,Calibration,1.0568533689092101
8qHJir8TSZHoq2lrFMBD,Calibration,3.295099798485442
92x1FlF3FQ1s8dQ54IWS,Calibration,2.492586095742441
95yOpES8E4zjEoFKFk7w,Calibration,2.264277807059775
9AKSxDKPtxHP9Ut8KclA,Calibration,5.537657536655467
9OOdy3EL9gV2m3qAnOVp,Calibration,1.9225161908222117
9POWk8QtReuxsK0yvjki,Calibration,0.7906984425364826
9RTj0h33gpUR71F0GVlJ,Calibration,2.4435159441099508
9dAjsnjcdIivFKNT1X2f,Calibration,2.5498992602588246
9liS5ZEc3xxhCxnNwmTM,Calibration,2.1760678903188464
AG1eGoKsa39XadOPz77R,Calibration,10.29719995652177
ARZcKo7DpsDlt8pTLH6y,Calibration,0.5401087943047653
Apoa9lu5n40OQkdEgMZe,Calibration,1.8591408559996316
At4Q5HZEuzv0927uqcFx,Calibration,0.5011000083851612
BBaz29MqOhlIVTYVWDAI,Calibration,3.1032647137095934
BH1qqYE7VY6i3kLXpF32,Calibration,2.141208640772179
BOTH4MhdiiUFsurW7Of5,Calibration,2.2305918456712233
BZuYzw3NULBkhkmU36Er,Calibration,0.97427310125372
BeoJ2wBaME7LyGZB9Spd,Calibration,1.0834552239058615
Bp8mlpmP27vXoVodIm5L,Calibration,3.0577088507555583
BuHP6JEQKCaASN6v7ckO,Calibration,2.1465507406836855
BzLJhLmlE8xzU9l2R7kC,Calibration,0.6308845119678257
COhGzBC79SvxUlkpeFH0,Calibration,2.735842989876152
CYLuXOJAv40e78iZFurm,Calibration,3.8816752255490057
Cp8PHWcfOHaJmVZqok4u,Calibration,1.0353988322810066
CrBdSUgeDxvP1LBjcaOB,Calibration,3.2635843685940404
DYwAlkDZW0gdF2j8Askz,Calibration,0.7613546590283624
EGntHP9bHra7FsIwCBus,Calibration,2.0488881533144094
EH8KWfzwaVnpvXBcIqR0,Calibration,1.362229344172854
EJjCLgkIaEqjk2UReGga,Calibration,2.6718702245128223
EdzdNDrt2AXAGcPR9TLn,Calibration,2.048681841590241
EpbekNcUIsJFwcqikpcV,Calibration,2.0172933255662073
Eq8pcWXdjmRmXeZnOUz2,Calibration,2.3662331195661115
F7J9ofaDYnO7KPoont15,Calibration,5.910925193180073
G9F5y3iPdGZTovIExXOG,Calibration,2.048681841590241
GsYQM1DKEhnijVl3zMHt,Calibration,3.738877117539168
H2V6uOqGz6W7kGr8tFVD,Calibration,1.2217579720549618
HISIbvjePOK5HInxujL0,Calibration,1.3840206981729613
HJCacdJIQC85IJJWbXU9,Calibration,1.6249458128710708
HMAkEj7TZ5rCbu6WDT2F,Calibration,0.9969413166056268
HMEi5DsV1CTGcAYqrnjc,Calibration,1.1824553332402652
HVW2rPCBWeRknfexuWm7,Calibration,2.8601116671987996
HWMyEUMuhmBwHJQmL6i1,Calibration,3.774499188727213
HqP2nCSUYbLUZycyIuN6,Calibration,4.955960945944644
ICUHIN1ITVVwunz8tWtH,Calibration,4.209754512547083
